what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341229307970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341229328999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341229335097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1341229348894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341229350004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229424112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229457234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341229464700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341229492460
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229496678
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229500998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229505392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341229515919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341229525589
